iter	Passed	Remaining
0	59	59114
1	59	29779
2	60	19958
3	60	15064
4	60	12110
5	61	10152
6	61	8766
7	62	7742
8	62	6923
9	63	6273
10	63	5735
11	64	5350
12	66	5022
13	66	4686
14	66	4392
15	67	4132
16	67	3908
17	67	3706
18	68	3524
19	68	3362
20	68	3213
21	69	3079
22	69	2956
23	69	2842
24	70	2737
25	70	2642
26	70	2551
27	71	2468
28	71	2390
29	71	2317
30	71	2248
31	72	2183
32	72	2124
33	72	2068
34	73	2019
35	73	1969
36	73	1921
37	74	1876
38	74	1833
39	74	1792
40	75	1755
41	75	1717
42	75	1683
43	75	1650
44	76	1619
45	76	1589
46	76	1560
47	77	1532
48	77	1504
49	77	1478
50	78	1453
51	78	1429
52	78	1405
53	78	1382
54	79	1360
55	79	1338
56	79	1317
57	79	1297
58	80	1278
59	80	1262
60	80	1245
61	81	1230
62	81	1214
63	81	1197
64	82	1181
65	82	1167
66	82	1152
67	83	1138
68	83	1125
69	83	1113
70	84	1100
71	84	1088
72	84	1076
73	84	1063
74	85	1053
75	85	1042
76	85	1030
77	86	1018
78	86	1007
79	86	998
80	87	987
81	87	977
82	87	965
83	87	956
84	88	947
85	88	939
86	88	930
87	88	921
88	89	912
89	89	904
90	89	896
91	89	887
92	90	880
93	90	873
94	90	865
95	91	858
96	91	851
97	91	846
98	92	839
99	92	832
100	92	825
101	93	820
102	93	815
103	93	808
104	94	802
105	94	796
106	94	790
107	94	784
108	95	777
109	95	772
110	95	766
111	95	760
112	96	754
113	96	749
114	96	743
115	96	738
116	97	732
117	97	727
118	97	722
119	97	717
120	98	712
121	98	707
122	99	707
123	99	702
124	99	698
125	100	694
126	100	690
127	100	685
128	101	682
129	101	678
130	101	674
131	101	670
132	102	666
133	103	667
134	103	663
135	103	659
136	104	655
137	104	651
138	104	648
139	104	644
140	105	641
141	105	636
142	105	633
143	105	629
144	106	626
145	106	622
146	106	618
147	106	615
148	107	612
149	108	612
150	108	610
151	108	607
152	109	604
153	109	600
154	109	597
155	109	594
156	110	591
157	110	587
158	110	584
159	110	581
160	110	578
161	111	575
162	111	572
163	111	569
164	112	567
165	112	564
166	112	561
167	112	559
168	113	556
169	113	553
170	113	551
171	113	548
172	114	545
173	114	543
174	114	540
175	115	538
176	115	535
177	115	533
178	115	531
179	116	529
180	116	526
181	116	524
182	116	522
183	117	519
184	117	517
185	117	515
186	118	513
187	118	511
188	118	509
189	119	507
190	119	505
191	119	503
192	119	501
193	120	499
194	120	497
195	120	495
196	121	493
197	121	491
198	121	489
199	121	487
200	122	485
201	122	483
202	122	482
203	123	480
204	123	478
205	123	477
206	124	475
207	124	474
208	124	472
209	125	471
210	125	469
211	125	467
212	126	465
213	126	463
214	126	462
215	126	460
216	127	458
217	127	456
218	127	454
219	127	452
220	127	451
221	128	449
222	128	447
223	128	445
224	128	444
225	129	442
226	129	440
227	129	438
228	129	437
